"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/3/2025","4/3/2025","4/4/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$498.29","($249.14)"
"4/3/2025","4/3/2025","4/4/2025","BKNG","Booking Holdings
CUSIP: 09857L108","Buy","0.025","$4,445.00","($111.13)"
"4/3/2025","4/3/2025","4/4/2025","AMZN","Amazon
CUSIP: 023135106","Buy","1","$180.55","($180.55)"
"4/3/2025","4/3/2025","4/4/2025","","ACH Deposit","ACH","","","$500.00"
"4/1/2025","4/1/2025","4/1/2025","NOBL","Manufactured Div: R/D 2025-03-26 P/D 2025-04-01 - 3 shares at 0.465379","MDIV","","","$1.40"
"4/1/2025","4/1/2025","4/1/2025","TXRH","Cash Div: R/D 2025-03-18 P/D 2025-04-01 - 2 shares at 0.68","CDIV","","","$1.36"
"3/31/2025","3/31/2025","3/31/2025","VTI","Cash Div: R/D 2025-03-27 P/D 2025-03-31 - 1 shares at 0.9854","CDIV","","","$0.99"
"3/31/2025","3/31/2025","3/31/2025","SCHG","Cash Div: R/D 2025-03-26 P/D 2025-03-31 - 110 shares at 0.0272","CDIV","","","$2.99"
"3/31/2025","3/31/2025","3/31/2025","SCHD","Cash Div: R/D 2025-03-26 P/D 2025-03-31 - 74 shares at 0.2488","CDIV","","","$18.41"
"3/31/2025","3/31/2025","3/31/2025","BKNG","Cash Div: R/D 2025-03-07 P/D 2025-03-31 - 0.05 shares at 9.6","CDIV","","","$0.48"
"3/31/2025","3/31/2025","3/31/2025","VOO","Cash Div: R/D 2025-03-27 P/D 2025-03-31 - 10.5 shares at 1.8121","CDIV","","","$19.03"
"3/31/2025","3/31/2025","4/1/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","6","$25.06","($150.33)"
"3/31/2025","3/31/2025","4/1/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$514.15","($257.07)"
"3/28/2025","3/28/2025","3/28/2025","RSP","Cash Div: R/D 2025-03-24 P/D 2025-03-28 - 2 shares at 0.83084","CDIV","","","$1.66"
"3/28/2025","3/28/2025","3/31/2025","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","1","$27.58","($27.58)"
"3/28/2025","3/28/2025","3/31/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","15","$25.05","($375.74)"
"3/28/2025","3/28/2025","3/31/2025","","ACH Deposit","ACH","","","$750.00"
"3/25/2025","3/25/2025","3/25/2025","VYM","Cash Div: R/D 2025-03-21 P/D 2025-03-25 - 2 shares at 0.85","CDIV","","","$1.70"
"3/25/2025","3/25/2025","3/26/2025","HIMS","Hims & Hers Health
CUSIP: 433000106","Sell","2","$36.29","$72.58"
"3/19/2025","3/19/2025","3/20/2025","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","3","$27.92","($83.75)"
"3/19/2025","3/19/2025","3/20/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","1","$25.48","($25.49)"
"3/19/2025","3/19/2025","3/20/2025","MA","Mastercard
CUSIP: 57636Q104","Buy","0.25","$533.88","($133.47)"
"3/19/2025","3/19/2025","3/20/2025","AMZN","Amazon
CUSIP: 023135106","Buy","1","$192.50","($192.50)"
"3/19/2025","3/19/2025","3/20/2025","TXRH","Texas Roadhouse
CUSIP: 882681109","Buy","1","$168.83","($168.83)"
"3/19/2025","3/19/2025","3/20/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","1","$162.83","($162.83)"
"3/19/2025","3/19/2025","3/20/2025","","ACH Deposit","ACH","","","$750.00"
"3/17/2025","3/17/2025","3/17/2025","GOOGL","Cash Div: R/D 2025-03-10 P/D 2025-03-17 - 2 shares at 0.2","CDIV","","","$0.40"
"3/14/2025","3/14/2025","3/14/2025","O","Cash Div: R/D 2025-03-03 P/D 2025-03-14 - 4 shares at 0.268","CDIV","","","$1.07"
"3/14/2025","3/14/2025","3/14/2025","ADC","Cash Div: R/D 2025-02-28 P/D 2025-03-14 - 1 shares at 0.253","CDIV","","","$0.25"
"3/13/2025","3/13/2025","3/13/2025","MSFT","Cash Div: R/D 2025-02-20 P/D 2025-03-13 - 1 shares at 0.83","CDIV","","","$0.83"
"3/10/2025","3/10/2025","3/11/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","9","$25.07","($225.63)"
"3/10/2025","3/10/2025","3/11/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$514.94","($257.47)"
"3/10/2025","3/10/2025","3/11/2025","","ACH Deposit","ACH","","","$500.00"
"3/7/2025","3/7/2025","3/7/2025","RSP","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/7/2025","VYM","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/7/2025","NOBL","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/7/2025","SCHG","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/7/2025","SCHD","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/7/2025","HIMS","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/10/2025","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","4","$28.24","($112.97)"
"3/7/2025","3/7/2025","3/10/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","8","$25.90","($207.20)"
"3/7/2025","3/7/2025","3/10/2025","","ACH Deposit","ACH","","","$300.00"
"3/3/2025","3/3/2025","3/4/2025","","ACH Deposit","ACH","","","$500.00"
"3/3/2025","3/3/2025","3/4/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","12","$26.48","($317.76)"
"3/3/2025","3/3/2025","3/4/2025","EQIX","Equinix
CUSIP: 29444U700","Buy","0.2","$908.95","($181.79)"
"2/26/2025","2/26/2025","2/27/2025","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","22","$28.29","($622.29)"
"2/26/2025","2/26/2025","2/27/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","1","$550.65","($550.65)"
"2/26/2025","2/26/2025","2/27/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","5","$27.76","($138.80)"
"2/26/2025","2/26/2025","2/27/2025","HIMS","Hims & Hers Health
CUSIP: 433000106","Buy","2","$42.48","($84.96)"
"2/26/2025","2/26/2025","2/27/2025","","ACH Deposit","ACH","","","$1,400.00"
"2/21/2025","2/21/2025","2/21/2025","COST","Cash Div: R/D 2025-02-07 P/D 2025-02-21 - 1 shares at 1.16","CDIV","","","$1.16"
"2/14/2025","2/14/2025","2/14/2025","O","Cash Div: R/D 2025-02-03 P/D 2025-02-14 - 4 shares at 0.264","CDIV","","","$1.06"
"2/14/2025","2/14/2025","2/14/2025","ADC","Cash Div: R/D 2025-01-31 P/D 2025-02-14 - 1 shares at 0.253","CDIV","","","$0.25"
"2/7/2025","2/7/2025","2/7/2025","MA","Cash Div: R/D 2025-01-09 P/D 2025-02-07 - 0.5 shares at 0.76","CDIV","","","$0.38"
"2/7/2025","2/7/2025","2/7/2025","VYM","Stock Lending","SLIP","","","$0.01"
"2/7/2025","2/7/2025","2/7/2025","SCHG","Stock Lending","SLIP","","","$0.01"
"2/7/2025","2/7/2025","2/7/2025","SCHD","Stock Lending","SLIP","","","$0.01"
"2/7/2025","2/7/2025","2/7/2025","RSP","Stock Lending","SLIP","","","$0.01"
"2/7/2025","2/7/2025","2/7/2025","NOBL","Stock Lending","SLIP","","","$0.01"
"1/21/2025","1/21/2025","1/22/2025","MSFT","Microsoft
CUSIP: 594918104","Buy","0.25","$427.62","($106.91)"
"1/21/2025","1/21/2025","1/22/2025","RSP","Invesco S&P 500 Equal Weight ETF
CUSIP: 46137V357","Buy","1","$182.26","($182.26)"
"1/21/2025","1/21/2025","1/22/2025","NFLX","Netflix
CUSIP: 64110L106","Sell","0.25","$996.00","$249.00"
"1/15/2025","1/15/2025","1/15/2025","ADC","Cash Div: R/D 2024-12-31 P/D 2025-01-15 - 1 shares at 0.253","CDIV","","","$0.25"
"1/15/2025","1/15/2025","1/15/2025","O","Cash Div: R/D 2025-01-02 P/D 2025-01-15 - 4 shares at 0.264","CDIV","","","$1.06"
"1/10/2025","1/10/2025","1/13/2025","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","5","$27.74","($138.69)"
"1/10/2025","1/10/2025","1/13/2025","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","5","$26.97","($134.85)"
"1/10/2025","1/10/2025","1/13/2025","","ACH Deposit","ACH","","","$250.00"
"1/10/2025","1/10/2025","1/13/2025","VTI","Vanguard Total Stock Market ETF
CUSIP: 922908769","Buy","0.5","$290.05","($145.03)"
"1/9/2025","1/9/2025","1/9/2025","CRM","Cash Div: R/D 2024-12-18 P/D 2025-01-09 - 1 shares at 0.4","CDIV","","","$0.40"
"1/8/2025","1/8/2025","1/9/2025","COST","Costco
CUSIP: 22160K105","Buy","0.4","$945.10","($378.04)"
"1/8/2025","1/8/2025","1/9/2025","","ACH Deposit","ACH","","","$400.00"
"1/8/2025","1/8/2025","1/9/2025","","ACH Deposit","ACH","","","$150.00"
"1/8/2025","1/8/2025","1/8/2025","SCHD","Stock Lending","SLIP","","","$0.01"
"1/8/2025","1/8/2025","1/8/2025","SCHG","Stock Lending","SLIP","","","$0.01"
"1/8/2025","1/8/2025","1/8/2025","RSP","Stock Lending","SLIP","","","$0.01"
"1/8/2025","1/8/2025","1/8/2025","NOBL","Stock Lending","SLIP","","","$0.01"
"12/31/2024","12/31/2024","12/31/2024","TXRH","Cash Div: R/D 2024-12-10 P/D 2024-12-31 - 2 shares at 0.61","CDIV","","","$1.22"
"12/31/2024","12/31/2024","12/31/2024","NOBL","Manufactured Div: R/D 2024-12-23 P/D 2024-12-31 - 3 shares at 0.586338","MDIV","","","$1.76"
"12/31/2024","12/31/2024","12/31/2024","BKNG","Cash Div: R/D 2024-12-06 P/D 2024-12-31 - 0.03 shares at 8.75","CDIV","","","$0.26"
"12/30/2024","12/30/2024","12/31/2024","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","9","$27.23","($245.07)"
"12/30/2024","12/30/2024","12/31/2024","","ACH Deposit","ACH","","","$260.00"
"12/27/2024","12/27/2024","12/27/2024","RSP","Cash Div: R/D 2024-12-23 P/D 2024-12-27 - 1 shares at 0.61965","CDIV","","","$0.62"
"12/27/2024","12/27/2024","12/30/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$545.14","($272.57)"
"12/27/2024","12/27/2024","12/30/2024","","ACH Deposit","ACH","","","$265.00"
"12/26/2024","12/26/2024","12/26/2024","VOO","Cash Div: R/D 2024-12-23 P/D 2024-12-26 - 8.5 shares at 1.7385","CDIV","","","$14.78"
"12/26/2024","12/26/2024","12/26/2024","VTI","Cash Div: R/D 2024-12-23 P/D 2024-12-26 - 0.5 shares at 0.9412","CDIV","","","$0.47"
"12/24/2024","12/24/2024","12/24/2024","VYM","Cash Div: R/D 2024-12-20 P/D 2024-12-24 - 2 shares at 0.9642","CDIV","","","$1.93"
"12/18/2024","12/18/2024","12/19/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.25","$539.48","($134.87)"
"12/18/2024","12/18/2024","12/19/2024","","ACH Deposit","ACH","","","$2.00"
"12/18/2024","12/18/2024","12/19/2024","","ACH Deposit","ACH","","","$125.00"
"12/16/2024","12/16/2024","12/16/2024","SCHG","Cash Div: R/D 2024-12-11 P/D 2024-12-16 - 70 shares at 0.0316","CDIV","","","$2.21"
"12/16/2024","12/16/2024","12/16/2024","SCHD","Cash Div: R/D 2024-12-11 P/D 2024-12-16 - 31 shares at 0.2645","CDIV","","","$8.20"
"12/16/2024","12/16/2024","12/16/2024","GOOGL","Cash Div: R/D 2024-12-09 P/D 2024-12-16 - 2 shares at 0.2","CDIV","","","$0.40"
"12/13/2024","12/13/2024","12/13/2024","O","Cash Div: R/D 2024-12-02 P/D 2024-12-13 - 4 shares at 0.2635","CDIV","","","$1.05"
"12/13/2024","12/13/2024","12/13/2024","ADC","Cash Div: R/D 2024-11-29 P/D 2024-12-13 - 1 shares at 0.253","CDIV","","","$0.25"
"12/13/2024","12/13/2024","12/16/2024","NOBL","ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467","Sell","0.003643","$104.80","$0.38"
